key	fi	nb	se	sma	smj	smn	sms	sv	sje	sju
LanguageNorwegian	Norja (bokmål)	Norsk (bokmål)	Girjedárogiella	Nöörjengïele (bokmål)	Vuonadárogiella (girjjegiella)	Kirjetárukielâ		Norska (bokmål)		
LanguageNynorsk	Norja (nynorsk)	Norsk (nynorsk)	Ođđadárogiella	Nöörjengïele (nynorsk)	Vuonadárogiella (ådådárogiella)	Uđđâtárukielâ		Norska (nynorsk)		
LanguagePiteSami			Bihtánsámegiella	Bidumsaemiengïele	Bidumsámegiella	Pittáámsämikielâ		Pitesamiska	Bisumsámegielan	Byöhđamesámien
LanguageSkoltSami	Koltansaame	Skoltesamisk	Nuorttalašgiella	Skåaltesaemien	Gålldåsámegiella	Nuorttâlâškielâ		Skoltsamiska	Skålltåsámegielan	Luvlliesámien
LanguageSouthSami	Eteläsaame	Sørsamisk	Máttasámegiella	Åarjelsaemien	Oarjjelsámegiella	Maadâsämikielâ		Sydsamiska	Urrjelsámegielan	Ürjjelsámien
LanguageSwedish	Ruotsi	Svensk	Ruoŧagiella	Daaroengïele	Svierigadárogiella	Ruotâkielâ		Svenska		
LanguageUmeSami	Uumajansaame	Umesamisk	Ubmisámegiella	Ubmejesaemiengïele	Ubbmemsámegiell	Ummeesämikielâ		Umesamiska	Ubmejesámegielan	Ubmejesámien
OnboardingBody	Lahjoita muutama minuutti puhettasi. Se auttaa kielitutkijoita kehittämään saamen kielen tutkimusta ja työkaluja.	Doner nokre minutt av stemma di. Det hjelper språkforskarar med å forske på og utvikle verktøy for samiske språk.	Skeŋkes moadde minuhta du hállamis. Gielladutkkiide lea ávkkalaš guorahallat sámi gielaid ja ovdánahttit reaidduid daidda.	Vedtieh muvhten minuhth dov gïeleste. Dle gïeledotkijh viehkete dotkedh, jïh gïeledïrregh saemiengïelide evtiedidh.	Donierista muhtem minuhta ietjat hållamis. Dat la riek ávkálasj gielladutkijda, bessi guoradallat sáme gielajt ja åvddånahttet ræjdojt.	Skeŋkkii muáddi miinut tuu sárnum. Kielâtotkeid lii ávhálâš kieđâvuššâđ sämikielâid já ovdediđ piergâsijd tain.		Donera några minuter av din röst. Det hjälper språkforskare att forska om och utveckla verktyg för samiska språk.		
OnboardingCTA	Aloitetaan		Áinnas searvvan!	Hävvi leam meatan!	Sidáv sæbrrat!	Algâttoon				
OnboardingFeature1Body	Palvelu opastaa sinua eteenpäin.		Bálvalus láidesta du.	Dïenesjem datnem vaedtsehte.	Dån vijddábut lájddiduvá.	Palvâlus läiđee tuu.		Tjänsten visar dig vägen vidare.		
OnboardingFeature1Title	Valitse aihe, josta haluat puhua		Váljjes fáttá man birra háliidat hupmat.	Veeljh aamhtese man bïjre sïjhth soptsestidh.	Vállji tiemáv man birra sidá ságastit.	Valjii fáádá, mon pirrâ halijdah sárnuđ.		Välj ett ämne du vill prata om		
OnboardingFeature2Body	Reagoi sisältöön omalla äidinkielelläsi.		Ságastala sisdoalu birra.	Vedtieh kommentaarem dov ietniegïelesne	Ságásta sisano birra	Reagist sistuálun.		Kommentera innehållet på ditt eget modersmål.		
OnboardingFeature2Title	Äänitä		Báddes	Spealedh sïjse	Báddista	Paddii		Spela in		
OnboardingFeature3Body	Voit lopettaa tai ohittaa milloin tahansa.		Sáhtát heaittihit báddema dahje guođđit fáttá go ieš háliidat.	Tjöödtjesth jallh jåerhkedh gåessie sïjhth	Gå iesj sidá de besa diedon báddimav ĺåhpadit jali tiemav guodet.	Puávtáh joskâđ tâi moonnâđ lappâd kuás peri.		Du kan stoppa eller hoppa över när som helst.		
OnboardingFeature3Title	Vapaaehtoista		Searvvat eaktodáhtolaččat	Åadtjoeh jïjtje veeljedh mejtie sïjhth meatan årrodh	Dån iesj mierreda jus dási sidá sæbrrat	Seervâ rijjâtátulâččân		Frivilligt deltagande		
OnboardingTitle	Velkommen	Velkommen	Bures boahtin!	Dov gïele gïeleteknologijem evtede	Buorisboahtem	Pyeripuáttim!		Din röst utvecklar språkteknologi		
PrivacyPolicyUrl			https://jietnašiella.org/privacy/	https://jietnašiella.org/privacy/	https://jietnašiella.org/privacy/					
RecordingApproachingLimitMessage	Äänityksen enimmäisaika lähestyy. Sinulla on noin yksi minuutti aikaa jäljellä.	Maksimal opptakstid nærmer seg. Du har omtrent ett minutt igjen.	Lea minuhta dassái go báddenáigemearri nohká	Tïjjem rætnoe nåhkemem jakseme, medtie 1 minuhte aajmene	Guhkemus báddimrádje la ruvva jåvsådum. Dujna l birrusin minuhtta báhtsám.	Paddim äigimeeri aldanškuát. Tust lii suullân ohtâ miinut äigi paddiđ.		Maximal inspelningstid närmar sig. Du har ungefär en minut kvar.		
RecordingFinishTitle	Hyvin kerrottu, paljon kiitoksia!	Godt fortalt, tusen takk!	Buorre, eatnat giitu!	Hijven soptsestamme, jïjnjh gäjhtoe!	Buorre, edna gijtto!	Pyeri, takkâ ennuv!		Bra berättat, tack så mycket!		
RecordingSaveFailedError	Äänityksen tallennus epäonnistui	Kunne ikke lagre opptak	Ii sáhttán vurket báddema	Idtji maehtieh vöörhkedh	Æhppa ittjij vuorbástuvá báddimav vuorkkit	Paddim vuorkkim ij luhostum		Kunde inte spara inspelning		
RecordingStoppedLimitMessage	Äänityksen enimmäisaika tuli täyteen ja äänitys keskeytettiin automaattisesti. Kiitos lahjoituksesta!	Maksimal opptakstid ble nådd og opptaket ble automatisk stoppet. Takk for donasjonen!	Báddenáigemearri nogai, ja bádden nogai. Giitu skeaŋkka ovddas!	Tïjjem orrijamme, gæjhtoe donasjovnen åvteste	Guhkemus báddimrádje l juo jåvsådum ja báddim ietjastis ganugahteduváj. Gijtto hållamdonierimis!	Paddim äigimeeri nuuvâi já paddim nuuvâi automaatlávt. Takkâ ko skeŋkkejih!		Maximal inspelningstid har uppnåtts och inspelningen stoppades automatiskt. Tack för donationen!		
RecordingStoppedLimitTitle	Äänitys keskeytetty	Opptak avbrutt	Bádden boatkaluvvui	Orrijamme	Báddim la boarkkiduvvam	Paddim nuuvâi		Inspelning avbruten		
RecordingUploadStatusNotUploaded			Ii vurkejuvvon bálvadihtorii		Ii vuorkáduvvum					
RecordingUploadStatusUploaded			Vurkejuvvon bálvadihtorii		Läj vuorkáduvvum					
ScheduleStartFallbackTitle	Valmis aloittamaan	Klar til å starte	Gearggus álgit	Riejries aelkedh	Gárves álgátjit	Vaalmâš älgiđ		Redo att starta		
StartButtonText	Aloita	Start	Álgge	Aelhkie amma!	Álge	Aalgât		Sätt igång		
StartRecording	Äänitä	Ta opp	Báddes	Spealedh dïjse	Báddi	Paddii		Spela in		
StopRecording	Lopeta äänitys	Stopp opptak	Bisset báddema	Tjöödtjesth	Låhpada báddimav	Jooskâ paddim		Stoppa inspelning		
TermsAccept	Hyväksyn	Jeg godtar	Dohkkehan	Manne dåhkasjahtam	Dåhkkidav	Tuhhiittâm		Jag godkänner		
TermsAcceptBody	Painamalla alla olevaa Hyväksyn-nappia hyväksyn edellä olevat puheen lahjoittamisen ehdot. Jos olen alle 18-vuotias, huoltajani hyväksyy ehdot puolestani.	Ved å trykke på Jeg godtar-knappen nedenfor godtar jeg vilkårene ovenfor for taledonasjon. Hvis jeg er under 18 år, godtar min verge vilkårene på mine vegne.	Go diettát "Dohkkehan"-boalu dás vuolábealde, dohkkehat hállanskeŋkema eavttuid. Jus leat vuollel 18 jagi, de du váldeguoddi dohkkeha eavttuid du ovddas.	Gosse "Manne dåhkasjahtam" dïedtem, manne njoelkedasside dåhkasjahtam.	Gå diebttjista "Dåhkkidav-boalov" vuollelin de dåhkkida ævtojt hållamdonierimij. Jus illa ájn dævddám 18 jage, de dåhkkit duv oahttse ævtojt duv åvdås.	Ko teddilah "Tuhhiittâm"-puálu vuoluubel, tuhhiittah sárnumskeŋkkim iävtuid. Jis lah vuálá 18-ihásâš, te tuu huolâtteijee tuhhit iävtuid tuu peeleest.		Genom att trycka på knappen "Jag godkänner" nedan godkänner jag villkoren ovan för taldonation. Om jag är under 18 år godkänner min vårdnadshavare villkoren för min räkning.		
TermsAdditionalContact		UiT, Norges arktiske universitet, Divvun	UiT, Norgga árktalaš universitehta, Divvun	UiT Nöörjen arktihke universiteete, Divvun	UiT Vuona arktalasj universitiehtta, Divvun	UiT, Taažâ arktâlâš ollâopâttâh, Divvun		UiT, Norges arktiske universitet, Divvun		
TermsAdditionalEmail	feedback@divvun.no	feedback@divvun.no	feedback@divvun.no	feedback@divvun.no	feedback@divvun.no	feedback@divvun.no				
TermsAdditionalTitle	Lisätietoa	Mer informasjon	Eanet dieđut	Vielie bïevnesh	Ienep diedo	Lasetiäđuh		Mer information		
TermsAdditionalWebsite	Kampanjan sivusto:	Kampanjens nettside:	Kampánjja ruoktosiidu:	Kampaanjen hïejmesæjroe	Kampánja næhttabielle:	Kampanja nettisiijđoh:		Kampanjens webbplats:		
TermsAdditionalWebsiteLink	jietnašiella.org	jietnašiella.org	jietnašiella.org	jietnašiella.org	jietnašiella.org	jietnašiella.org				
TermsAdditionalWebsiteUrl	https://jietnašiella.org	https://jietnašiella.org	https://jietnašiella.org	https://jietnašiella.org	https://jietnašiella.org	https://jietnašiella.org				
TermsAppropriateUseBody	Tämä sovellus ei ole tarkoitettu yhteiskäyttöön. Kaikkien lahjoittajien tulee käyttää lahjoittaessaan omaa laitettaan.	Denne applikasjonen er ikke ment for delt bruk. Alle donorer må bruke sin egen enhet når de donerer.	Buohkat geat háliidit skeŋket hállama fertejit geavahit iežaset ovttadaga skeŋkedettiin.	Applikasjovnem ij leah juekiemasse, gaajhkesh tjuerieh altese dïrrege nuhtjedhh gosse gïelh vedtieh	Æhppa ij galga juogeduvvat ienep ulmutjijs. Gájka gudi sihti hållamav donierit hæhttuji ietjasa rustigav dasi adnet.	Taat heiviittâs ij lah uáivildum ohtâškevttimân. Puohah kiäh skeŋkkejeh sárnum, kalgeh kevttiđ jieijâs piergâs.		Denna applikation är inte avsedd för delad användning. Alla donatorer måste använda sin egen enhet när de donerar.		
TermsAppropriateUseTitle	Sovelluksen käyttäminen	Bruk av applikasjonen	Áppgeavaheapmi	Nuhtjemem applikasjovneste	Ehpav adnet	Heiviittâs kevttim		Användning av applikationen		
TermsGeneralBody			Go geavahat dán áppa, de dohkkehat ahte jietnabáddemat átnojit sámi gielaid dutkamii ja giellateknologiija ovdánahttimii. Searvvat áibbas eaktodáhtolaččat — sáhtát heaitit báddemis, guođđit fáttá dahje heaitit áppa geavaheames iežat miela mielde.							
TermsGeneralLink	Lisätietoja kampanjasta	Mer informasjon om kampanjen	Eanet dieđut dán kampanjja birra	Vielie bïevnesh kampaanjen bïjre	Ienep diedo dán kampánja birra	Lasetiäđuh kampanjast		Mer information om kampanjen		
TermsGeneralTitle	Käyttöehtosivun otsikko	Brukervilkår	Geavahaneavttut	Nuhtjemenjoelkedassh	Addneævto	Kevttimiävtuh		Användarvillkor		
TermsGeneralUrl	https://jietnašiella.org	https://jietnašiella.org	https://jietnašiella.org	https://jietnašiella.org	https://jietnašiella.org	https://jietnašiella.org				
TermsHelloBody	Lue ensin nämä perustiedot hankkeesta. Sen jälkeen voit valita sinua kiinnostavan aihepiirin ja lahjoittaa puhettasi.	Les først denne grunnleggende informasjonen om prosjektet. Deretter kan du velge et emne som interesserer deg og donere talen din.	Go leat lohkan dáid oanehis dieđuid prošeavtta birra, de sáhtát válljet fáttá ja skeŋket du hállama.	Voestegh, lohkh bïevnesem. Dan mænngan maahtah aamhtese veeljedh jïh dov gïele vedtedh	Lågå vuostak vuododiedojt dán prosjevta birra. Dan maŋŋela besa válljit tiemáv massta berusta ja ietjat hållamav donierit.	Luuvâ vistig taid vuáđutiäđuid haavâst. Talle puávtáh valjiđ fáádá, mii perustit tuu, já skeŋkkiđ tuu sárnum.		Läs först denna grundläggande information om projektet. Därefter kan du välja ett ämne som intresserar dig och donera ditt tal.		
TermsHelloTitle	Kiitos, kun tulit.	Takk for at du kom.	Giitu go finadat	Gæjhtoe ihke böötih	Gijtto gå dássta berusta.	Takkâ, ko poottih.		Tack för att du kom.		
TermsOwnershipBody1			This project is operated by UiT The Arctic University of Norway (Divvun).	This project is operated by UiT The Arctic University of Norway (Divvun).	This project is operated by UiT The Arctic University of Norway (Divvun).					
TermsOwnershipTitle	Kuka?	Hvem?	Geat?	Gie?	Gut?	Kii?		Vem?		
TermsPrivacyLink	Lisätietoa henkilötietojen käsittelystä	Mer informasjon om behandling av personopplysninger	Eanet dieđut dan birra mo persovdnadieđut gieđahallojit	Vielie bïevnesh guktie almetjelaavenjassh gïeteduvvieh	Ienep diedo dan birra gåk persåvnnådiedo giehtadaláduvvi	Lsetiäđuh tast, maht persovntiäđuid kieđâvušeh		Mer information om behandling av personuppgifter		
TermsPrivacyTitle	Miten henkilötietoja käsitellään?	Hvordan behandles personopplysninger?	Mo persovdnadieđut gieđahallojit?	Guktie almetjelaavenjassh gïeteduvvieh?	Gåktu giehtadaláduvvi persåvnnådiedo?	Maht persovntiäđuid kieđâvušeh?		Hur behandlas personuppgifterna?		
TermsRightsBody			Go skeŋket du báddemiid, de attát ii-eksklusiiva, royaltykeahtes liseanssa geavahit, vurket ja juogadit báddemiid sámi gielaid dutkamii ja giellateknologiija ovdánahttimii. Sáhtát dáhttut min sihkkut buot báddemiid mat leat čatnon du geavaheaddji-ID:i maid gávnnat dán áppas čujuhusa feedback@divvun.no bokte.	By donating your recordings, you grant UiT The Arctic University of Norway and its research partners a non-exclusive, royalty-free licence to use, store, and share the recordings for language research and language technology development. You may request deletion of all your recordings at any time by contacting us at feedback@divvun.no.	By donating your recordings, you grant UiT The Arctic University of Norway and its research partners a non-exclusive, royalty-free licence to use, store, and share the recordings for language research and language technology development. You may request deletion of all your recordings at any time by contacting us at feedback@divvun.no.					
TermsRightsTitle	Oikeudet puheeseen	Rettigheter til tale	Vuoigatvuođat čatnon du hállamii	Reaktah gïelen bïjre	Rievtesvuoda duv hållamij	Vuoigâdvuođah sárnumân		Rättigheter kopplade till talet		
TermsVoluntaryBody	Puheen lahjoittaminen ja henkilötietojen ilmoittaminen on täysin vapaaehtoista.	Donasjon av tale og oppgivelse av personopplysninger er helt frivillig.	Hállanskeŋken ja persovdnadieđuid guođđin barggat áibbas eaktodáhtolaččat.	Gïele jïh almetjelaavenjassh vedtedh, lea eevre frijje væljoen mietie	Hållamsállim ja persåvnnådiedoj guodem la ållu ietjat duogen.	Sárnumskeŋkkim já persovntiäđui kyeđđim lii iävtutátulâš.		Att donera tal och lämna personuppgifter är helt frivilligt.		
TermsVoluntaryTitle	Täysin vapaaehtoista!	Helt frivillig!	Dušše jus ieš háliidat!	Eevre frijje væljoe	Dåssju jus iesj sidá!	Tuše jis jieš halijdah!		Helt frivilligt!		
ThemeFallbackAltText	Aihe	Tema	Fáddá	Aamhtese	Tiebmá	Fáddá		Tema		
ThemesPageBody1Text	Valitse aihe, josta haluat puhua.	Velg et tema du vil snakke om.	Váljjes fáttá man birra háliidat hupmat.	Veeljh aamhtese man bïjre sïjhth soptsestidh	Vállji tiemáv man birra sidá ságastit.	Valjii fáádá, mon pirrâ halijdah sárnuđ.		Välj ett ämne du vill prata om.		
ThemesPageBody2Text	Palvelu opastaa sinua eteenpäin.	Tjenesten vil veilede deg videre.	Bálvalus láidesta du.	Dïenesjem datnem vijriebasse bïhkede	Dån vijddábut lájddiduvá.	Palvâlus läiđee tuu.		Tjänsten vägleder dig vidare.		
ThemesPageEmptyText	Aiheita ei ole saatavilla	Ingen temaer tilgjengelig	Fáttát eai leat olamuttus	Aamhtesem ij gååvnesh.	E gávnnu tiemá	Fáádáh iä kavnuu		Inget tema tillgängligt		
ThemesPageItemsCount	{ $count } kpl	{ $count } elementer	{ $count } bihtá	{ $count } boelhkh	{ $count } tiema	{ $count } pittá		element		
ThemesPageNoValidThemesError	Tälle kielelle ei löytynyt kelvollisia aiheita. Kokeile toista kieltä.	Ingen gyldige temaer var tilgjengelige for dette språket. Prøv et annet språk.	Eai lean gustovaš fáttát dán gielas. Válljes eará giela.	Ij naan aamhtese dan gïelesne gååvnesh, veeljh jeatjah gïele.	E gávnnu tiemá dán giellaj, vállji ietjá gielav.	Taan kielâst iä kavnum rievtis fáádáh. Valjii eres kielâ.		Inga giltiga teman var tillgängliga för detta språk. Försök med ett annat språk		
ThemesPageTitleText		Fortell et eventyr til språkets fremtid, gi stemmen din som gave.	Máinnas gielat boahtteáigái – attes jienat šiellan!	Soptsesth akte heamture gïelen båetije biejjien åvteste, vedtieh dov gïele vadtesinie.	Håla gielat boahtteájge diehti - donierista jienat sjiellan!			Berätta en saga för språkets framtid, skänk din röst som gåva.		
